strategy,query_id,type,repeat,latency_us,candidate_count,filter_queries,inverted_lookups,posting_records_read,full_tag_distance_computations
prefuzz,enron_full_009658,text,0,4,0,7,0,0,0
prefuzz,enron_full_010653,text,0,107,1,7,7,7,1
prefuzz,enron_full_011218,text,0,99,2,7,7,14,2
prefuzz,enron_full_025369,text,0,3,0,7,0,0,0
prefuzz,enron_full_027509,text,0,120,4,7,7,28,4
prefuzz,enron_full_033704,text,0,3,0,7,0,0,0
prefuzz,enron_full_034404,text,0,3,0,7,0,0,0
prefuzz,enron_full_034807,text,0,23,0,7,1,1,1
prefuzz,enron_full_039254,text,0,3,0,7,0,0,0
prefuzz,enron_full_039322,text,0,3,0,7,0,0,0
prefuzz,enron_full_046393,text,0,3,0,7,0,0,0
prefuzz,enron_full_049561,text,0,3,0,7,0,0,0
prefuzz,enron_full_053673,text,0,3,0,7,0,0,0
prefuzz,enron_full_058759,text,0,95,1,7,7,7,1
prefuzz,enron_full_059101,text,0,79,1,7,7,7,1
prefuzz,enron_full_067415,text,0,85,1,7,7,7,1
prefuzz,enron_full_068105,text,0,3,0,7,0,0,0
prefuzz,enron_full_078293,text,0,2,0,7,0,0,0
prefuzz,enron_full_080461,text,0,80,1,7,7,7,1
prefuzz,enron_full_080546,text,0,3,0,7,0,0,0
prefuzz,enron_full_081120,text,0,110,1,7,7,7,1
prefuzz,enron_full_084438,text,0,3,0,7,0,0,0
prefuzz,enron_full_088649,text,0,116,3,7,7,21,3
prefuzz,enron_full_096500,text,0,92,1,7,7,7,1
prefuzz,enron_full_098576,text,0,133,4,7,7,28,4
prefuzz,enron_full_101177,text,0,110,2,7,7,14,2
prefuzz,enron_full_106973,text,0,95,2,7,7,14,2
prefuzz,enron_full_109757,text,0,3,0,7,0,0,0
prefuzz,enron_full_110469,text,0,89,2,7,7,14,2
prefuzz,enron_full_111900,text,0,2,0,7,0,0,0
prefuzz,enron_full_115573,text,0,94,3,7,7,21,3
prefuzz,enron_full_123239,text,0,83,2,7,7,14,2
prefuzz,enron_full_127977,text,0,3,0,7,0,0,0
prefuzz,enron_full_128084,text,0,3,0,7,0,0,0
prefuzz,enron_full_138704,text,0,97,3,7,7,21,3
prefuzz,enron_full_144326,text,0,266,21,7,7,147,21
prefuzz,enron_full_145285,text,0,3,0,7,0,0,0
prefuzz,enron_full_146406,text,0,82,2,7,7,14,2
prefuzz,enron_full_149634,text,0,78,1,7,7,7,1
prefuzz,enron_full_151578,text,0,18,0,7,1,1,1
prefuzz,enron_full_151693,text,0,95,3,7,7,21,3
prefuzz,enron_full_156900,text,0,148,9,7,7,47,9
prefuzz,enron_full_165292,text,0,2,0,7,0,0,0
prefuzz,enron_full_169439,text,0,299,25,7,7,177,27
prefuzz,enron_full_175838,text,0,114,3,7,7,27,6
prefuzz,enron_full_177787,text,0,2,0,7,0,0,0
prefuzz,enron_full_191361,text,0,2,0,7,0,0,0
