strategy,query_id,type,repeat,latency_us,candidate_count,filter_queries,inverted_lookups,posting_records_read,full_tag_distance_computations
prefuzz,enron_full_000202,text,0,1427,2,7,7,14,2
prefuzz,enron_full_000664,text,0,736,2,7,7,14,2
prefuzz,enron_full_001289,text,0,4,0,7,0,0,0
prefuzz,enron_full_001379,text,0,3,0,7,0,0,0
prefuzz,enron_full_001488,text,0,3,0,7,0,0,0
prefuzz,enron_full_001525,text,0,411,1,7,7,7,1
prefuzz,enron_full_002220,text,0,726,2,7,7,14,2
prefuzz,enron_full_004616,text,0,1368,3,7,7,21,3
prefuzz,enron_full_005913,text,0,463,3,7,7,21,3
prefuzz,enron_full_006211,text,0,117,1,7,7,7,1
prefuzz,enron_full_006276,text,0,117,2,7,7,14,2
prefuzz,enron_full_006379,text,0,3,0,7,0,0,0
prefuzz,enron_full_006771,text,0,109,2,7,7,14,2
prefuzz,enron_full_007411,text,0,3,0,7,0,0,0
prefuzz,enron_full_008064,text,0,106,1,7,7,7,1
prefuzz,enron_full_008136,text,0,101,0,7,3,11,9
prefuzz,enron_full_008648,text,0,91,1,7,7,7,1
prefuzz,enron_full_008924,text,0,98,2,7,7,14,2
prefuzz,enron_full_009142,text,0,967,24,7,7,168,24
prefuzz,enron_full_009200,text,0,90,1,7,7,7,1
prefuzz,enron_full_009568,text,0,3,0,7,0,0,0
prefuzz,enron_full_009735,text,0,3,0,7,0,0,0
prefuzz,enron_full_011924,text,0,367,30,7,7,210,30
prefuzz,enron_full_012156,text,0,102,3,7,7,21,3
prefuzz,enron_full_012651,text,0,84,1,7,7,7,1
prefuzz,enron_full_013576,text,0,85,1,7,7,7,1
prefuzz,enron_full_013941,text,0,89,2,7,7,14,2
prefuzz,enron_full_014539,text,0,99,3,7,7,21,3
prefuzz,enron_full_014678,text,0,170,10,7,7,70,10
prefuzz,enron_full_015568,text,0,89,2,7,7,14,2
prefuzz,enron_full_015698,text,0,124,1,7,7,13,4
prefuzz,enron_full_016017,text,0,299,24,7,7,168,24
prefuzz,enron_full_017189,text,0,90,2,7,7,14,2
prefuzz,enron_full_018163,text,0,3,0,7,0,0,0
prefuzz,enron_full_018755,text,0,79,1,7,7,7,1
prefuzz,enron_full_019153,text,0,86,1,7,7,7,1
prefuzz,enron_full_019201,text,0,87,2,7,7,14,2
prefuzz,enron_full_019604,text,0,2,0,7,0,0,0
prefuzz,enron_full_019949,text,0,91,2,7,7,14,2
prefuzz,enron_full_020401,text,0,2,0,7,0,0,0
prefuzz,enron_full_020951,text,0,87,1,7,7,7,1
prefuzz,enron_full_021195,text,0,123,4,7,7,28,4
prefuzz,enron_full_021224,text,0,8888,437,7,7,3074,954
prefuzz,enron_full_021900,text,0,103,1,7,7,7,1
prefuzz,enron_full_022531,text,0,111,3,7,7,21,3
prefuzz,enron_full_022683,text,0,97,2,7,7,14,2
prefuzz,enron_full_022865,text,0,98,2,7,7,14,2
prefuzz,enron_full_022972,text,0,100,1,7,7,7,1
prefuzz,enron_full_024952,text,0,3,0,7,0,0,0
prefuzz,enron_full_025050,text,0,111,2,7,7,14,2
prefuzz,enron_full_026603,text,0,94,2,7,7,14,2
prefuzz,enron_full_026721,text,0,110,2,7,7,17,5
prefuzz,enron_full_027643,text,0,106,4,7,7,28,4
prefuzz,enron_full_027693,text,0,99,2,7,7,14,2
prefuzz,enron_full_027925,text,0,80,1,7,7,7,1
prefuzz,enron_full_028250,text,0,78,1,7,7,7,1
prefuzz,enron_full_028591,text,0,108,2,7,7,14,2
prefuzz,enron_full_028607,text,0,3,0,7,0,0,0
prefuzz,enron_full_029506,text,0,3,0,7,0,0,0
prefuzz,enron_full_030144,text,0,102,2,7,7,14,2
prefuzz,enron_full_031433,text,0,96,2,7,7,14,2
