query_id,group,payload_digest,source_ref
enron_full_000202,exact_ref,,
enron_full_000664,exact_ref,,
enron_full_001289,no_exact_ref,,
enron_full_001379,no_exact_ref,,
enron_full_001488,no_exact_ref,,
enron_full_001525,exact_ref,,
enron_full_002220,exact_ref,,
enron_full_004616,exact_ref,,
enron_full_005913,exact_ref,,
enron_full_006211,exact_ref,,
enron_full_006276,exact_ref,,
enron_full_006379,no_exact_ref,,
enron_full_006771,exact_ref,,
enron_full_007411,no_exact_ref,,
enron_full_008064,exact_ref,,
enron_full_008136,no_exact_ref,,
enron_full_008648,exact_ref,,
enron_full_008924,exact_ref,,
enron_full_009142,exact_ref,,
enron_full_009200,exact_ref,,
enron_full_009568,no_exact_ref,,
enron_full_009735,no_exact_ref,,
enron_full_011924,exact_ref,,
enron_full_012156,exact_ref,,
enron_full_012651,exact_ref,,
enron_full_013576,exact_ref,,
enron_full_013941,exact_ref,,
enron_full_014539,exact_ref,,
enron_full_014678,exact_ref,,
enron_full_015568,exact_ref,,
enron_full_015698,exact_ref,,
enron_full_016017,exact_ref,,
enron_full_017189,exact_ref,,
enron_full_018163,no_exact_ref,,
enron_full_018755,exact_ref,,
enron_full_019153,exact_ref,,
enron_full_019201,exact_ref,,
enron_full_019604,no_exact_ref,,
enron_full_019949,exact_ref,,
enron_full_020401,no_exact_ref,,
enron_full_020951,exact_ref,,
enron_full_021195,exact_ref,,
enron_full_021224,exact_ref,,
enron_full_021900,exact_ref,,
enron_full_022531,exact_ref,,
enron_full_022683,exact_ref,,
enron_full_022865,exact_ref,,
enron_full_022972,exact_ref,,
enron_full_024952,no_exact_ref,,
enron_full_025050,exact_ref,,
enron_full_026603,exact_ref,,
enron_full_026721,exact_ref,,
enron_full_027643,exact_ref,,
enron_full_027693,exact_ref,,
enron_full_027925,exact_ref,,
enron_full_028250,exact_ref,,
enron_full_028591,exact_ref,,
enron_full_028607,no_exact_ref,,
enron_full_029506,no_exact_ref,,
enron_full_030144,exact_ref,,
enron_full_031433,exact_ref,,
enron_full_031542,exact_ref,,
enron_full_031612,exact_ref,,
enron_full_031680,exact_ref,,
enron_full_032079,no_exact_ref,,
enron_full_032704,exact_ref,,
enron_full_033187,no_exact_ref,,
enron_full_033628,no_exact_ref,,
enron_full_034178,no_exact_ref,,
enron_full_034530,no_exact_ref,,
enron_full_035481,no_exact_ref,,
enron_full_035578,no_exact_ref,,
enron_full_035695,no_exact_ref,,
enron_full_035726,no_exact_ref,,
enron_full_035827,no_exact_ref,,
enron_full_035969,no_exact_ref,,
enron_full_035998,no_exact_ref,,
enron_full_038008,no_exact_ref,,
enron_full_040212,no_exact_ref,,
enron_full_040615,exact_ref,,
enron_full_041235,exact_ref,,
enron_full_042132,exact_ref,,
enron_full_045885,exact_ref,,
enron_full_046009,exact_ref,,
enron_full_046306,exact_ref,,
enron_full_046840,exact_ref,,
enron_full_047084,no_exact_ref,,
enron_full_047376,exact_ref,,
enron_full_047738,exact_ref,,
enron_full_047772,no_exact_ref,,
enron_full_048185,no_exact_ref,,
enron_full_048713,no_exact_ref,,
enron_full_049016,no_exact_ref,,
enron_full_049875,no_exact_ref,,
enron_full_050163,exact_ref,,
enron_full_050258,exact_ref,,
enron_full_050705,no_exact_ref,,
enron_full_050719,no_exact_ref,,
enron_full_051118,no_exact_ref,,
enron_full_051633,no_exact_ref,,
enron_full_052109,exact_ref,,
enron_full_052243,exact_ref,,
enron_full_052699,no_exact_ref,,
enron_full_052941,no_exact_ref,,
enron_full_053517,no_exact_ref,,
enron_full_053522,no_exact_ref,,
enron_full_054174,no_exact_ref,,
enron_full_055270,no_exact_ref,,
enron_full_055462,exact_ref,,
enron_full_056138,exact_ref,,
enron_full_056670,exact_ref,,
enron_full_056953,no_exact_ref,,
enron_full_057268,exact_ref,,
enron_full_057321,no_exact_ref,,
enron_full_057826,no_exact_ref,,
enron_full_058046,exact_ref,,
enron_full_058254,exact_ref,,
enron_full_058415,no_exact_ref,,
enron_full_059797,exact_ref,,
enron_full_060370,exact_ref,,
enron_full_060846,exact_ref,,
enron_full_062151,exact_ref,,
enron_full_062439,exact_ref,,
enron_full_063833,exact_ref,,
enron_full_063839,exact_ref,,
enron_full_064172,exact_ref,,
enron_full_064231,exact_ref,,
enron_full_064607,exact_ref,,
enron_full_065332,exact_ref,,
enron_full_065814,exact_ref,,
enron_full_066742,no_exact_ref,,
enron_full_067365,exact_ref,,
enron_full_067727,exact_ref,,
enron_full_067752,exact_ref,,
enron_full_068258,no_exact_ref,,
enron_full_068541,no_exact_ref,,
enron_full_068714,no_exact_ref,,
enron_full_068948,no_exact_ref,,
enron_full_069168,exact_ref,,
enron_full_069488,no_exact_ref,,
enron_full_070382,no_exact_ref,,
enron_full_071706,exact_ref,,
enron_full_071944,exact_ref,,
enron_full_072801,exact_ref,,
enron_full_073237,exact_ref,,
enron_full_075726,exact_ref,,
enron_full_076089,exact_ref,,
enron_full_078045,no_exact_ref,,
enron_full_078949,exact_ref,,
enron_full_080332,no_exact_ref,,
enron_full_080731,exact_ref,,
enron_full_081565,exact_ref,,
enron_full_081601,exact_ref,,
enron_full_081707,exact_ref,,
enron_full_082681,no_exact_ref,,
enron_full_085442,exact_ref,,
enron_full_085751,exact_ref,,
enron_full_086327,no_exact_ref,,
enron_full_087697,no_exact_ref,,
enron_full_088138,exact_ref,,
enron_full_088307,exact_ref,,
enron_full_088336,exact_ref,,
enron_full_089344,exact_ref,,
enron_full_089451,exact_ref,,
enron_full_090248,exact_ref,,
enron_full_091044,exact_ref,,
enron_full_091307,exact_ref,,
enron_full_092251,no_exact_ref,,
enron_full_092316,no_exact_ref,,
enron_full_092765,no_exact_ref,,
enron_full_093576,no_exact_ref,,
enron_full_094577,exact_ref,,
enron_full_094590,no_exact_ref,,
enron_full_094757,no_exact_ref,,
enron_full_095403,exact_ref,,
enron_full_096327,exact_ref,,
enron_full_096329,exact_ref,,
enron_full_098210,exact_ref,,
enron_full_098535,exact_ref,,
enron_full_098599,exact_ref,,
enron_full_098973,exact_ref,,
enron_full_099013,exact_ref,,
enron_full_099531,exact_ref,,
enron_full_100323,exact_ref,,
enron_full_100466,exact_ref,,
enron_full_101174,exact_ref,,
enron_full_101274,exact_ref,,
enron_full_102532,exact_ref,,
enron_full_102695,exact_ref,,
enron_full_102774,exact_ref,,
enron_full_103426,exact_ref,,
enron_full_103581,exact_ref,,
enron_full_104396,no_exact_ref,,
enron_full_104402,exact_ref,,
enron_full_104423,no_exact_ref,,
enron_full_104598,exact_ref,,
enron_full_105565,exact_ref,,
enron_full_105930,exact_ref,,
enron_full_106126,exact_ref,,
enron_full_106135,exact_ref,,
enron_full_108529,exact_ref,,
enron_full_108654,exact_ref,,
enron_full_108933,exact_ref,,
enron_full_108996,exact_ref,,
enron_full_109605,exact_ref,,
enron_full_110370,exact_ref,,
enron_full_111197,no_exact_ref,,
enron_full_111665,exact_ref,,
enron_full_111904,exact_ref,,
enron_full_112694,exact_ref,,
enron_full_113971,exact_ref,,
enron_full_114650,exact_ref,,
enron_full_115626,no_exact_ref,,
enron_full_116065,exact_ref,,
enron_full_116692,exact_ref,,
enron_full_117087,exact_ref,,
enron_full_117441,exact_ref,,
enron_full_117988,exact_ref,,
enron_full_118247,exact_ref,,
enron_full_118573,exact_ref,,
enron_full_119068,exact_ref,,
enron_full_119674,no_exact_ref,,
enron_full_119896,no_exact_ref,,
enron_full_120534,exact_ref,,
enron_full_120641,exact_ref,,
enron_full_120822,exact_ref,,
enron_full_121175,exact_ref,,
enron_full_122290,no_exact_ref,,
enron_full_122402,no_exact_ref,,
enron_full_123831,exact_ref,,
enron_full_124264,exact_ref,,
enron_full_124451,exact_ref,,
enron_full_126518,exact_ref,,
enron_full_128013,no_exact_ref,,
enron_full_128290,no_exact_ref,,
enron_full_128461,exact_ref,,
enron_full_129750,exact_ref,,
enron_full_129922,exact_ref,,
enron_full_129965,exact_ref,,
enron_full_130406,exact_ref,,
enron_full_130557,exact_ref,,
enron_full_130818,exact_ref,,
enron_full_131990,exact_ref,,
enron_full_132971,exact_ref,,
enron_full_133588,exact_ref,,
enron_full_133819,exact_ref,,
enron_full_134727,no_exact_ref,,
enron_full_136330,exact_ref,,
enron_full_137531,exact_ref,,
enron_full_137711,exact_ref,,
enron_full_139013,no_exact_ref,,
enron_full_139188,exact_ref,,
enron_full_139197,exact_ref,,
enron_full_139486,exact_ref,,
enron_full_140225,no_exact_ref,,
enron_full_140420,exact_ref,,
enron_full_140552,exact_ref,,
enron_full_140885,exact_ref,,
enron_full_141161,no_exact_ref,,
enron_full_141985,exact_ref,,
enron_full_142230,exact_ref,,
enron_full_142612,exact_ref,,
enron_full_143076,exact_ref,,
enron_full_144720,no_exact_ref,,
enron_full_144759,no_exact_ref,,
enron_full_145061,exact_ref,,
enron_full_146696,exact_ref,,
enron_full_148007,exact_ref,,
enron_full_148315,exact_ref,,
enron_full_148338,exact_ref,,
enron_full_149174,exact_ref,,
enron_full_149842,exact_ref,,
enron_full_150562,exact_ref,,
enron_full_151773,no_exact_ref,,
enron_full_152307,exact_ref,,
enron_full_152987,exact_ref,,
enron_full_153167,exact_ref,,
enron_full_154125,no_exact_ref,,
enron_full_154648,no_exact_ref,,
enron_full_155829,exact_ref,,
enron_full_156626,exact_ref,,
enron_full_156811,exact_ref,,
enron_full_158640,exact_ref,,
enron_full_159222,exact_ref,,
enron_full_159570,exact_ref,,
